Immobilisations incorporelles:,0.00,,0.00,0.00,Capital,2000.00,2000.00
- Fonds commercial,0.00,,0.00,0.00,Ecarts de réévaluation,0.00,0.00
- Autres,0.00,,0.00,0.00,Réserves: réserve légale,1200.00,1200.00
Immobilisations corporelles:,0.00,,0.00,0.00,Réserves: réserves réglementées,0.00,0.00
Immobilisations financières:,0.00,,0.00,0.00,Réserves: Autres,0.00,0.00
TOTAL : Actif immobilisé (I),0.00,,0.00,0.00,Report à nouveau,9665.04,5201.83
Stock en cours (autres que marchandises),0.00,,0.00,0.00,Résultat de l'exercice,-18173.03,19463.21
Marchandises,0.00,,0.00,0.00,Provision réglementée,0.00,0.00
Avances et accomptes verses sur commandes,0.00,,0.00,0.00,TOTAL : Capitaux propres (I),-5307.99,27865.04
Créances: clients et accomptes ratachés,0.00,,0.00,24219.00,Provisions (II),0.00,0.00
Créances: autres,2260.35,,2260.35,977.08,Dettes: emprunts et dettes assimilées,0.00,0.00
Valeurs mobilières de placement,0.00,,0.00,0.00,"Dettes: avances et acomptes reçus sur
Commandes en cours",0.00,0.00
Disponibilités (autres que caisse),16902.06,,16902.06,32562.23,Dettes: Fournisseurs et comptes ratachés,0.00,0.00
Caisse,0.00,,0.00,0.00,Dettes: Autres,24470.40,30695.76
TOTAL : Actif circulant (II),19162.41,,19162.41,57758.31,TOTAL :  Dettes (III),24470.40,30695.76
Charges constatées d'avance (III),0.00,,0.00,802.49,Produits constatés d'avance (IV),0.00,0.00
TOTAL GENERAL:  I + II +III,19162.41,,19162.41,58560.80,TOTAL GENERAL:  I + II +III + IV,19162.41,58560.80
